Model,accuracy,precision,recall,f1,auc
Model_A,0.8900986031224322,0.6021978021978022,0.43630573248407645,0.5060018467220684,0.8922894634058407
Model_B,0.8919474116680361,0.6370967741935484,0.37738853503184716,0.474,0.8849788937627688
Model_C,0.8925636811832375,0.655786350148368,0.3519108280254777,0.45803108808290155,0.89135245162841
